127.0.0.1, 2022-05-28 16:57:09, GET, /movies/static/test.html, HTTP/1.1, 304, 0.000000
127.0.0.1, 2022-05-28 16:57:10, POST, /movies/default/call/json/get_recommendations, HTTP/1.1, 500, 0.039894
127.0.0.1, 2022-05-28 16:57:10, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-05-28 16:58:21, GET, /movies/static/test.html, HTTP/1.1, 304, 0.000000
127.0.0.1, 2022-05-28 16:58:21, POST, /movies/default/call/json/get_recommendations, HTTP/1.1, 404, 0.010971
127.0.0.1, 2022-05-28 16:58:21, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-05-28 16:58:21, GET, /movies/static/test.html, HTTP/1.1, 304, 0.001022
127.0.0.1, 2022-05-28 16:58:21, POST, /movies/default/call/json/get_recommendations, HTTP/1.1, 404, 0.010006
127.0.0.1, 2022-05-28 16:58:21, GET, /favicon.ico, HTTP/1.1, 400, 0.001011
127.0.0.1, 2022-05-28 16:58:26, GET, /movies/static/test.html, HTTP/1.1, 304, 0.000993
127.0.0.1, 2022-05-28 16:58:26, POST, /movies/default/call/json/get_recommendations, HTTP/1.1, 500, 0.035904
127.0.0.1, 2022-05-28 16:58:26, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-05-28 17:01:16, GET, /admin/default/site, HTTP/1.1, 200, 0.028952
127.0.0.1, 2022-05-28 17:01:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-05-28 17:01:17, GET, /admin/default/site, HTTP/1.1, 200, 0.030307
127.0.0.1, 2022-05-28 17:01:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-05-28 17:01:19, GET, /admin/default/design/movies, HTTP/1.1, 200, 0.083776
127.0.0.1, 2022-05-28 17:01:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-05-28 17:01:25, GET, /admin/default/peek/movies/views/default/index.html, HTTP/1.1, 200, 0.046452
127.0.0.1, 2022-05-28 17:01:25, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-05-28 17:01:28, GET, /admin/default/design/movies, HTTP/1.1, 200, 0.064859
127.0.0.1, 2022-05-28 17:01:28, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-05-28 17:01:41, GET, /movies/static/_2.22.3/test.html, HTTP/1.1, 200, 0.000964
127.0.0.1, 2022-05-28 17:01:41, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-05-28 17:01:41, POST, /movies/default/call/json/get_recommendations, HTTP/1.1, 500, 0.034906
127.0.0.1, 2022-05-28 17:01:44, GET, /admin/default/design/movies, HTTP/1.1, 200, 0.064858
127.0.0.1, 2022-05-28 17:01:44, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-05-28 17:01:46, GET, /movies/static/_2.22.3/item_similarity_df.csv, HTTP/1.1, 200, 0.006281
127.0.0.1, 2022-05-28 17:04:19, GET, /movies/static/test.html, HTTP/1.1, 304, 0.000000
127.0.0.1, 2022-05-28 17:04:19, POST, /movies/default/call/json/get_recommendations, HTTP/1.1, 500, 0.038896
127.0.0.1, 2022-05-28 17:04:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-05-28 17:05:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-05-28 17:05:17, POST, /movies/default/call/json/get_recommendations, HTTP/1.1, 500, 0.037899
127.0.0.1, 2022-05-28 17:05:21, GET, /movies/static/, HTTP/1.1, 404, 0.000000
127.0.0.1, 2022-05-28 17:05:21, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-05-28 17:05:24, GET, /movies/, HTTP/1.1, 500, 0.049972
127.0.0.1, 2022-05-28 17:05:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-05-28 17:05:27, GET, /, HTTP/1.1, 303, 0.000997
127.0.0.1, 2022-05-28 17:05:27, GET, /welcome/default/index, HTTP/1.1, 200, 0.021889
127.0.0.1, 2022-05-28 17:05:27, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000994
127.0.0.1, 2022-05-28 17:05:27, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000997
127.0.0.1, 2022-05-28 17:05:27, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2022-05-28 17:05:27, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000993
127.0.0.1, 2022-05-28 17:05:27, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000996
127.0.0.1, 2022-05-28 17:05:27, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000998
127.0.0.1, 2022-05-28 17:05:27, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2022-05-28 17:05:27, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.000998
127.0.0.1, 2022-05-28 17:05:27, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2022-05-28 17:05:27, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.001011
127.0.0.1, 2022-05-28 17:05:27, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000997
127.0.0.1, 2022-05-28 17:05:32, GET, /admin/default/index, HTTP/1.1, 200, 0.014973
127.0.0.1, 2022-05-28 17:05:32, GET, /admin/static/_2.22.3/js/jquery.js, HTTP/1.1, 200, 0.001995
127.0.0.1, 2022-05-28 17:05:32, GET, /admin/static/_2.22.3/js/calendar.js, HTTP/1.1, 200, 0.002995
127.0.0.1, 2022-05-28 17:05:32, GET, /admin/static/_2.22.3/css/calendar.css, HTTP/1.1, 200, 0.003989
127.0.0.1, 2022-05-28 17:05:32, GET, /admin/static/_2.22.3/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.003990
127.0.0.1, 2022-05-28 17:05:32, GET, /admin/static/_2.22.3/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000995
127.0.0.1, 2022-05-28 17:05:32, GET, /admin/static/_2.22.3/js/web2py.js, HTTP/1.1, 200, 0.001995
127.0.0.1, 2022-05-28 17:05:32, GET, /admin/static/_2.22.3/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000997
127.0.0.1, 2022-05-28 17:05:32, GET, /admin/static/_2.22.3/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.0009127.0.0.1, 2022-05-28 17:05:32, GET, /admin/static/_2.22.3/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000997
127.0.0.1, 2022-05-28 17:05:32, GET, /admin/static/_2.22.3/css/bootstrap.min.css, HTTP/1.1, 200, 0.001995
127.0.0.1, 2022-05-28 17:05:32, GET, /admin/static/_2.22.3/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.000997
127.0.0.1, 2022-05-28 17:05:32, GET, /admin/static/_2.22.3/js/bootstrap.min.js, HTTP/1.1, 200, 0.000997
127.0.0.1, 2022-05-28 17:05:32, GET, /admin/static/_2.22.3/images/questions.png, HTTP/1.1, 200, 0.000998
127.0.0.1, 2022-05-28 17:05:33, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2022-05-28 17:05:35, POST, /admin/default/index, HTTP/1.1, 303, 0.015958
127.0.0.1, 2022-05-28 17:05:35, GET, /admin/default/site, HTTP/1.1, 200, 0.026367
127.0.0.1, 2022-05-28 17:05:35, GET, /admin/static/_2.22.3/images/folder_locked.png, HTTP/1.1, 200, 0.000983
127.0.0.1, 2022-05-28 17:05:35, GET, /admin/static/_2.22.3/images/folder.png, HTTP/1.1, 200, 0.000983
127.0.0.1, 2022-05-28 17:05:35, GET, /admin/static/_2.22.3/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000998
127.0.0.1, 2022-05-28 17:05:35, POST, /admin/default/check_version, HTTP/1.1, 200, 0.352865
127.0.0.1, 2022-05-28 17:05:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-05-28 17:05:37, GET, /movies/default/index, HTTP/1.1, 500, 0.030921
127.0.0.1, 2022-05-28 17:05:37, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-05-28 17:05:40, GET, /admin/default/site, HTTP/1.1, 200, 0.022971
127.0.0.1, 2022-05-28 17:05:40, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-05-28 17:10:50, GET, /movies/static/test.html, HTTP/1.1, 304, 0.000000
127.0.0.1, 2022-05-28 17:10:50, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-05-28 17:10:51, GET, /movies/static/test.html, HTTP/1.1, 304, 0.000000
127.0.0.1, 2022-05-28 17:10:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000999
127.0.0.1, 2022-05-28 17:10:56, POST, /movies/default/call/json/get_recommendations, HTTP/1.1, 200, 6.195268
127.0.0.1, 2022-05-28 17:10:56, POST, /movies/default/call/json/get_recommendations, HTTP/1.1, 200, 4.893920
127.0.0.1, 2022-05-28 17:12:31, GET, /, HTTP/1.1, 303, 0.000000
127.0.0.1, 2022-05-28 17:12:31, GET, /welcome/default/index, HTTP/1.1, 200, 0.016955
127.0.0.1, 2022-05-28 17:12:31, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000998
127.0.0.1, 2022-05-28 17:12:36, GET, /movies/static/test.html, HTTP/1.1, 304, 0.000000
127.0.0.1, 2022-05-28 17:12:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-05-28 17:12:36, POST, /movies/default/call/json/get_recommendations, HTTP/1.1, 200, 0.195468
127.0.0.1, 2022-05-28 17:24:18, GET, /movies/static/test.html, HTTP/1.1, 304, 0.001028
127.0.0.1, 2022-05-28 17:24:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000998
127.0.0.1, 2022-05-28 17:24:18, POST, /movies/default/call/json/get_recommendations, HTTP/1.1, 200, 0.193480
127.0.0.1, 2022-05-28 17:47:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-05-28 17:47:12, POST, /movies/default/call/json/get_recommendations, HTTP/1.1, 200, 0.200872
127.0.0.1, 2022-05-28 17:47:21, GET, //movies/default/call/json/get_recommendations, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-05-28 17:47:21, GET, /favicon.ico, HTTP/1.1, 400, 0.000998
127.0.0.1, 2022-05-28 17:47:51, POST, //movies/default/call/json/get_recommendations, HTTP/1.1, 400, 0.000998
127.0.0.1, 2022-05-28 17:48:55, POST, //movies/default/call/json/get_recommendations, HTTP/1.1, 400, 0.001996
127.0.0.1, 2022-05-28 17:49:32, POST, //movies/default/call/json/get_recommendations, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-05-28 17:50:07, GET, //movies/default/call/json/get_recommendations, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-05-28 17:50:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-05-28 17:50:08, GET, //movies/default/call/json/get_recommendations, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-05-28 17:50:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-05-28 17:50:09, GET, //movies/default/call/json/get_recommendations, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-05-28 17:50:09, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-05-28 17:50:09, GET, //movies/default/call/json/get_recommendations, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-05-28 17:50:09, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2022-05-28 17:50:17, POST, //movies/default/call/json/get_recommendations, HTTP/1.1, 400, 0.000997
127.0.0.1, 2022-05-28 17:51:10, GET, /admin/default/site, HTTP/1.1, 303, 0.004984
127.0.0.1, 2022-05-28 17:51:10, GET, /admin/default/index, HTTP/1.1, 200, 0.018130
